step 25500  ce 3.098  loss 3.109  holds 35040  26,678 tok/s
step 25550  ce 3.085  loss 3.097  holds 35040  26,677 tok/s
step 25600  ce 3.101  loss 3.114  holds 35040  26,676 tok/s
step 25650  ce 3.064  loss 3.075  holds 35040  26,676 tok/s
step 25700  ce 3.094  loss 3.105  holds 35040  26,676 tok/s
step 25750  ce 3.188  loss 3.200  holds 35040  26,675 tok/s
step 25800  ce 3.137  loss 3.149  holds 35040  26,674 tok/s
step 25850  ce 3.118  loss 3.129  holds 35040  26,672 tok/s
step 25900  ce 3.124  loss 3.135  holds 35040  26,671 tok/s
step 25950  ce 3.058  loss 3.070  holds 35040  26,670 tok/s
step 26000  ce 3.096  loss 3.108  holds 35040  26,669 tok/s
step 26050  ce 3.092  loss 3.104  holds 35040  26,668 tok/s
step 26100  ce 3.080  loss 3.092  holds 35040  26,667 tok/s
step 26150  ce 3.012  loss 3.024  holds 35040  26,667 tok/s
step 26200  ce 3.032  loss 3.045  holds 35040  26,668 tok/s
step 26250  ce 3.135  loss 3.147  holds 35040  26,668 tok/s
step 26300  ce 3.085  loss 3.096  holds 35040  26,668 tok/s
step 26350  ce 3.062  loss 3.073  holds 35040  26,668 tok/s
step 26400  ce 3.013  loss 3.025  holds 35040  26,668 tok/s
step 26450  ce 3.058  loss 3.070  holds 35040  26,669 tok/s
step 26500  ce 3.152  loss 3.163  holds 35040  26,670 tok/s
step 26550  ce 3.060  loss 3.072  holds 35040  26,669 tok/s
step 26600  ce 3.098  loss 3.110  holds 35040  26,670 tok/s
step 26650  ce 2.991  loss 3.003  holds 35040  26,671 tok/s
step 26700  ce 2.960  loss 2.971  holds 35040  26,671 tok/s
step 26750  ce 3.103  loss 3.114  holds 35040  26,672 tok/s
step 26800  ce 3.016  loss 3.029  holds 35040  26,673 tok/s
step 26850  ce 3.154  loss 3.165  holds 35040  26,674 tok/s
step 26900  ce 3.097  loss 3.108  holds 35040  26,675 tok/s
step 26950  ce 3.010  loss 3.021  holds 35040  26,676 tok/s
step 27000  ce 2.964  loss 2.976  holds 35040  26,676 tok/s
step 27050  ce 2.923  loss 2.935  holds 35040  26,674 tok/s
step 27100  ce 3.170  loss 3.181  holds 35040  26,673 tok/s
step 27150  ce 3.024  loss 3.036  holds 35040  26,673 tok/s
step 27200  ce 3.053  loss 3.066  holds 35040  26,672 tok/s
step 27250  ce 3.138  loss 3.149  holds 35040  26,671 tok/s
step 27300  ce 3.184  loss 3.195  holds 35040  26,670 tok/s
step 27350  ce 3.025  loss 3.037  holds 35040  26,670 tok/s
step 27400  ce 3.066  loss 3.078  holds 35040  26,670 tok/s
step 27450  ce 2.948  loss 2.959  holds 35040  26,671 tok/s
